Location Longitude Latitude Demand Location Longitude Latitude Demand
111 107.0928753 10.4645698 120 161 107.3895491 10.5312328 190
112 107.0764286 10.4612866 130 162 107.2778042 10.4613389 140
113 107.2184636 10.4153714 100 163 107.0904814 10.5159272 150
114 107.2116025 10.4140367 200 164 107.090069 10.5209418 120
115 107.1250945 10.40374 180 165 107.0780857 10.5327865 110
116 107.3954402 10.5340722 90 166 107.1441511 10.4032053 90
117 107.4224733 10.5430976 100 167 107.1707011 10.5320209 130
118 107.5463775 10.5569513 120 168 107.1833661 10.6771288 140
119 107.423355 10.5655446 150 169 107.3983709 10.5261142 160
120 107.5527777 10.5793247 150 170 107.322347 10.4527448 180
121 107.5587113 10.5828861 160 171 107.2955838 10.4448747 200
122 107.3818004 10.6569732 180 172 107.3472876 10.5142798 150
123 107.3878668 10.6825681 170 173 107.4298217 10.4785718 170
124 107.5011562 10.6895802 100 174 107.4270886 10.4802238 190
125 107.4070582 10.7282229 50 175 107.2718451 10.5936879 50
126 107.0607605 10.5627161 80 176 107.2793802 10.5940728 80
127 107.0710316 10.546983 90 177 107.2958359 10.6747727 150
128 107.0485622 10.6328866 100 178 107.3150366 10.6431725 120
129 107.0548736 10.6049324 110 179 107.2569872 10.6461742 100
130 107.0595686 10.586266 200 180 107.2527158 10.6444889 50
131 107.1263476 10.6439379 100 181 107.253576 10.64427 80
132 107.0564189 10.6245086 80 182 107.242989 10.6457916 80
133 107.0924997 10.6410546 90 183 107.3278829 10.4528535 100
134 107.0696791 10.6305131 100 184 107.3275584 10.4529541 150
135 107.1046283 10.6437178 80 185 107.3272817 10.4587591 100
136 107.0846291 10.639186 60 186 107.4486567 10.5519968 120
137 107.1618843 10.6565236 70 187 107.4828032 10.5523471 180
138 107.1683386 10.6543573 90 188 107.4878438 10.5534228 200
139 107.331577 10.456957 100 189 107.5387238 10.5587742 100
140 107.4190301 10.5678459 100 190 107.5436277 10.5484656 50
141 107.3863474 10.5298422 120 191 107.4913489 10.5602509 60
142 107.2144733 10.4847797 130 192 107.4109591 10.5297061 80
143 107.2104375 10.4813125 100 193 107.4192092 10.5526763 90
144 107.2138066 10.4864488 200 194 107.1189525 10.4002784 100
145 107.2000512 10.4985376 180 195 107.1570879 10.4149267 60
146 107.3887808 10.5527956 90 196 107.2881782 10.498286 70
147 107.4390963 10.6099732 100 197 107.0422531 10.5957367 90
148 107.3740277 10.6372208 120 198 107.0531962 10.5771138 100
149 107.4491143 10.6291658 150 199 107.0716147 10.6252839 100
150 107.449656 10.6300841 150 200 107.0753104 10.6032123 100
